icao;city_icao;country;country_code
SADM;Moron (SADM);Argentina;AR
SADO;Campo de Mayo (SADO);Argentina;AR
SADP;El Palomar (SADP);Argentina;AR
SADQ;Quilmes (SADQ);Argentina;AR
SADR;Merlo (SADR);Argentina;AR
SADS;San Justo (SADS);Argentina;AR
SADZ;La Matanza (SADZ);Argentina;AR
SAEA;General Acha (SAEA);Argentina;AR
SAEK;Laprida (SAEK);Argentina;AR
SAEL;Las Flores (SAEL);Argentina;AR
SAEM;Miramar (SAEM);Argentina;AR
SAET;Trenque Lauquen (SAET);Argentina;AR
SAEZ;Ezeiza (SAEZ);Argentina;AR
SAFR;Rafaela (SAFR);Argentina;AR
SAFS;Sunchales (SAFS);Argentina;AR
SAFT;El Trebol (SAFT);Argentina;AR
SAFV;Venado Tuerto (SAFV);Argentina;AR
SAHC;Chos Malal (SAHC);Argentina;AR
SAHE;Lafontaine (SAHE);Argentina;AR
SAHI;Cipoletti (SAHI);Argentina;AR
SAHR;General Roca (SAHR);Argentina;AR
SAHS;Rincon de los Sauces (SAHS);Argentina;AR
SAHV;Victorica (SAHV);Argentina;AR
SAHZ;Zapala (SAHZ);Argentina;AR
SAMA;General Alvear (SAMA);Argentina;AR
SAMC;Cristo Redentor (SAMC);Argentina;AR
SAME;Mendoza (SAME);Argentina;AR
SAMH;Valle Hermoso (SAMH);Argentina;AR
SAMI;San Martin (SAMI);Argentina;AR
SAMJ;Jachal (SAMJ);Argentina;AR
SAML;Punta de Vacas (SAML);Argentina;AR
SAMM;Malargue (SAMM);Argentina;AR
SAMP;La Paz (SAMP);Argentina;AR
SAMQ;Mendoza (SAMQ);Argentina;AR
SAMR;San Rafael (SAMR);Argentina;AR
SAMS;San Carlos (SAMS);Argentina;AR
SAMU;Uspallata (SAMU);Argentina;AR
SANC;Catamarca (SANC);Argentina;AR
SANE;Santiago del Estero (SANE);Argentina;AR
SANH;Rio Hondo (SANH);Argentina;AR
SANI;Tinogasta (SANI);Argentina;AR
SANL;La Rioja (SANL);Argentina;AR
